id,symbol,name,current_price,market_cap,price_change_percentage_24h,total_volume,pulled_at
tether,usdt,Tether,1.0,155825702622.0,0.01335,30813012227.0,06/21/2025 19:46
ripple,xrp,XRP,2.08,122645006756.0,-1.81441,2258976832.0,06/21/2025 19:46
binancecoin,bnb,BNB,631.49,92139213058.0,-1.69674,528364628.0,06/21/2025 19:46
solana,sol,Solana,136.66,72650656784.0,-2.49646,4233441386.0,06/21/2025 19:46
usd-coin,usdc,USDC,0.999791,61242459685.0,-0.00117,7754592718.0,06/21/2025 19:46
tron,trx,TRON,0.272262,25827361398.0,0.12244,559226538.0,06/21/2025 19:46
dogecoin,doge,Dogecoin,0.156958,23485867807.0,-3.48966,962049434.0,06/21/2025 19:46
staked-ether,steth,Lido Staked Ether,2298.68,21067873085.0,-4.7308,18572925.0,06/21/2025 19:46
cardano,ada,Cardano,0.5623,20314926346.0,-3.10565,655897507.0,06/21/2025 19:46
wrapped-bitcoin,wbtc,Wrapped Bitcoin,102768.0,13279221549.0,-0.40152,236263694.0,06/21/2025 19:46
hyperliquid,hype,Hyperliquid,34.08,11405213188.0,2.97202,333798898.0,06/21/2025 19:46
wrapped-steth,wsteth,Wrapped stETH,2775.9,9874511346.0,-4.67609,16142549.0,06/21/2025 19:46
bitcoin-cash,bch,Bitcoin Cash,467.49,9297126342.0,-0.62724,269850089.0,06/21/2025 19:46
sui,sui,Sui,2.61,8852511975.0,-4.04899,836737162.0,06/21/2025 19:46
leo-token,leo,LEO Token,8.96,8274929064.0,0.75357,2443594.0,06/21/2025 19:46
chainlink,link,Chainlink,12.15,8238105391.0,-3.26966,341019054.0,06/21/2025 19:46
stellar,xlm,Stellar,0.238083,7431728701.0,-1.80748,144305531.0,06/21/2025 19:46
avalanche-2,avax,Avalanche,17.03,7191497638.0,-2.27192,364136740.0,06/21/2025 19:46
the-open-network,ton,Toncoin,2.89,7131400281.0,-1.18994,152336092.0,06/21/2025 19:46
usds,usds,USDS,0.999768,7130727968.0,0.00202,3558465.0,06/21/2025 19:46
whitebit,wbt,WhiteBIT Coin,48.53,6994441092.0,-0.93834,40440893.0,06/21/2025 19:46
shiba-inu,shib,Shiba Inu,1.1e-05,6483760604.0,-2.90861,140420532.0,06/21/2025 19:46
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),1.0,6286989191.0,0.00819,5592695084.0,06/21/2025 19:46
litecoin,ltc,Litecoin,81.13,6165895756.0,-2.39832,280151774.0,06/21/2025 19:46
weth,weth,WETH,2302.07,6061469756.0,-4.56735,456517509.0,06/21/2025 19:46
wrapped-eeth,weeth,Wrapped eETH,2462.09,6022322474.0,-4.66301,3934347.0,06/21/2025 19:46
hedera-hashgraph,hbar,Hedera,0.139291,5883802360.0,-4.01083,116090727.0,06/21/2025 19:46
monero,xmr,Monero,309.34,5710255365.0,-0.7453,57086806.0,06/21/2025 19:46
ethena-usde,usde,Ethena USDe,1.0,5604090185.0,-0.02533,91590224.0,06/21/2025 19:46
polkadot,dot,Polkadot,3.35,5104419774.0,-2.63995,187629720.0,06/21/2025 19:46
bitget-token,bgb,Bitget Token,4.23,4949891790.0,-0.08583,60622804.0,06/21/2025 19:46
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,102873.0,4773490527.0,-0.37362,258808352.0,06/21/2025 19:46
pepe,pepe,Pepe,9.43e-06,3969694371.0,-4.59784,707834167.0,06/21/2025 19:46
uniswap,uni,Uniswap,6.54,3932936091.0,-7.67639,607779906.0,06/21/2025 19:46
pi-network,pi,Pi Network,0.521185,3905820431.0,-3.77295,71993378.0,06/21/2025 19:46
dai,dai,Dai,0.999734,3714570142.0,0.02262,58737782.0,06/21/2025 19:46
aave,aave,Aave,237.3,3599361540.0,-4.13598,350481138.0,06/21/2025 19:46
ethena-staked-usde,susde,Ethena Staked USDe,1.18,3187569712.0,0.02982,15515283.0,06/21/2025 19:46
